Distribution,Formula
powerlognorm,"f(x, c, s) = \frac{c}{x s} \phi(\log(x)/s)                      (\Phi(-\log(x)/s))^{c-1}"
powernorm,"f(x, c) = c \phi(x) (\Phi(-x))^{c-1}"
rayleigh,f(x) = x \exp(-x^2/2)
rdist,"f(x, c) = \frac{(1-x^2)^{c/2-1}}{B(1/2, c/2)}"
recipinvgauss,"f(x, \mu) = \frac{1}{\sqrt{2\pi x}}                     \exp\left(\frac{-(1-\mu x)^2}{2\mu^2x}\right)"
reciprocal,"f(x, a, b) = \frac{1}{x \log(b/a)}"
rel_breitwigner,"f(x, \rho) = \frac{k}{(x^2 - \rho^2)^2 + \rho^2}"
rice,"f(x, b) = x \exp(- \frac{x^2 + b^2}{2}) I_0(x b)"
semicircular,f(x) = \frac{2}{\pi} \sqrt{1-x^2}
skewcauchy,"f(x) = \frac{1}{\pi \left(\frac{x^2}{\left(a\, \text{sign}(x) + 1                                                    \right)^2} + 1 \right)}"
skewnorm,"f(x; \alpha) = 2 \phi(x) \Phi(\alpha x)"
studentized_range,"f(x; k, \nu) = \frac{k(k-1)\nu^{\nu/2}}{\Gamma(\nu/2)                         2^{\nu/2-1}} \int_{0}^{\infty} \int_{-\infty}^{\infty}                         s^{\nu} e^{-\nu s^2/2} \phi(z) \phi(sx + z)                         [\Phi(sx + z) - \Phi(z)]^{k-2} \,dz \,ds"
t,"f(x, \nu) = \frac{\Gamma((\nu+1)/2)}                         {\sqrt{\pi \nu} \Gamma(\nu/2)}                     (1+x^2/\nu)^{-(\nu+1)/2}"
trapezoid,"f(x) = \frac{2(x - a)}{(b - a)(d - a)} \cdot \mathbf{1}_{[a,b)}(x) + \frac{2}{d - a} \cdot \mathbf{1}_{[b,c)}(x) + \frac{2(d - x)}{(d - c)(d - a)} \cdot \mathbf{1}_{[c,d]}(x)"
triang,"f(x) = \frac{2(x - a)}{(b - a)(c - a)} \cdot \mathbf{1}_{[a,c)}(x) + \frac{2(b - x)}{(b - a)(b - c)} \cdot \mathbf{1}_{[c,b]}(x)"
truncexpon,"f(x, b) = \frac{\exp(-x)}{1 - \exp(-b)}"
truncnorm,"f(x) = \frac{\frac{1}{\sqrt{2\pi}} e^{-x^2/2}}{\Phi(b) - \Phi(a)} \cdot \mathbf{1}_{[a,b]}(x)"
truncpareto,"f(x, b, c) = \frac{b}{1 - c^{-b}} \frac{1}{x^{b+1}}"
truncweibull_min,"f(x, a, b, c) = \frac{c x^{c-1} \exp(-x^c)}{\exp(-a^c) - \exp(-b^c)}"
tukeylambda,"f(x) = \frac{\lambda}{2} \cdot \frac{(1 + (1 - x)^{\lambda - 1}) - (1 - x)^{\lambda - 1}}{[(1 + x)^\lambda - (1 - x)^\lambda]^2}"
uniform,"f(x) = \frac{1}{b - a} \cdot \mathbf{1}_{[a, b]}(x)"
vonmises,"f(x, \kappa) = \frac{ \exp(\kappa \cos(x)) }{ 2 \pi I_0(\kappa) }"
vonmises_fisher,"f(\mathbf{x}) = \frac{\kappa^{d/2-1}}{(2\pi)^{d/2}I_{d/2-1}(\kappa)}                \exp\left(\kappa \mathbf{\mu}^T\mathbf{x}\right),"
vonmises_line,"f(x, \kappa) = \frac{ \exp(\kappa \cos(x)) }{ 2 \pi I_0(\kappa) }"
wald,f(x) = \frac{1}{\sqrt{2\pi x^3}} \exp(- \frac{ (x-1)^2 }{ 2x })
weibull_max,"f(x, c) = c (-x)^{c-1} \exp(-(-x)^c)"
weibull_min,"f(x, c) = c x^{c-1} \exp(-x^c)"
wrapcauchy,"f(x, c) = \frac{1-c^2}{2\pi (1+c^2 - 2c \cos(x))}"
